id|Nombre Comercial|Clasificación|Dirección|Referencia de Dirección |Teléfona Principal|Teléfono Secundario|Correo Electrónico|Dirección web|Horario de atención |estimacion de usuarios mensual|id_1
1097|CARL`S JR ALBAN BORJA|RESTAURANTE|Av. Carlos Julio Arosemena Kilometro 2.5 S/n S/n| Complejo Alban Borja junto al Hiper market |43702400||carlsaborja@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|133|8593
1098|CARL`S JR DAULE|RESTAURANTE|Paseo Shopping Daule Calle Av. Vicente Piedrahita S/N 21 s/n| Paseo shopping Daule frente al estadio los Daulis |43702440||carlsdaule@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|168|8594
1099|CARL`S JR LIBERTAD|RESTAURANTE|Paseo Shopping Libertad Av Carlos Espinoza y Av Puerto Lucia Local 06 s/n| CC Paseo Shopping La Peninsula, Patio de Comdas Local 06 a lado de Pizza Hut |43702400||carlslibertad@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|220|8595
1100|CARL`S JR MANTA|RESTAURANTE|Avda 4 de Noviembre  S/n calle 300 y 306| Paseo Shopping, patio de comidas. |43702400||carlsmanta@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|107|8596
1101|CARL`S JR PLAYAS|RESTAURANTE|Paseo Shopping Playas Av. Senon Macias Km. 1 1/2 Via Data Posorja S/n S/n| Paseo Shopping Playas, patio de comidas a lado de Pizza hut, mano izquierda. |43702400||carlsplayas@elrosado.com|www.calrsjr.com.ec|Lunes a sabado de 08:00 a22:00|204|8597
1102|CARL`S JR RIOCENTRO CEIBOS|RESTAURANTE|Riocentro Ceibos Av del Bombero Km. 6 Centro Comercial Riocentro Ceibos  Local 17 s/n| Patio de comidas del Centro Comercial junto a KFC |43702400||carlsceibos@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|183|8598
1103|CARL`S JR RIOCENTRO DORADO|RESTAURANTE|Riocentro El Dorado Centro Comercial Riocentro El Dorado Km 10.5 Vía la Aurora  31 s/n| Ciudad Comercial Riocentro El dorado vía la Aurora frente a urbanización Matices |43702400||carlseldorado@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|128|8599
1104|CARL´S JR BAHIA DE CARAQUEZ|FUENTE DE SODA|C.C. PASEO SHOPPING||42322000||gczarnin@elrosado.com||Lunes a viernes  06:00 a 20:00|182|8600
1105|CARL´S JR NORTE|FUENTE DE SODA|AV. FRANCISCO DE ORELLANA KM. 1.5, C.C. RIOCENTRO NORTE||3702400||gczarin@elrosado.com||Lunes a viernes  06:00 a 20:00|199|8601
1106|CARL´S JR PORTOVIEJO|RESTAURANTE|C.C. PASEO SHOPPING PORTOVIEJO LOCAL # C9||52934722||gczarmin@elrosado.com||Lunes a sabado de 08:00 a22:00|144|8602
1107|CARL´S JR.|RESTAURANTE|AV. FCO. DE ORELLANA, MZ. A, SOLAR 1, C.C. RIOCENTRO NORTE, LOCAL 114||243702||||Lunes a sabado de 08:00 a22:00|121|8603
1108|CARLITA|RESTAURANTE|MACHALA 2300 Y CAPITAN NAJERA||93177319||||Lunes a sabado de 08:00 a22:00|107|8604
1109|CARLITOS|CAFETERÍA|VIA A L GUAYAS EN LA GASOLINERA PETROLEOS Y SERVICIOS||||||Lunes a Viernes 08h30 a 17h00|239|8605
1110|CARLO & CARLA|RESTAURANTE|KM. 6.5 VIA PUNTILLA- SAMBORONDON, C.C. PLAZA LAGOS TOWN CENTER II, EDF. MIRADOR, PB, LOCAL 3||5019887||dicarlo@plazalagos.com.ec||Lunes a sabado de 08:00 a22:00|139|8606
1111|CARLONCHO 2|RESTAURANTE|CALLE SEGUNDA S/N 27 AVA Y GRAL ENRIQUE GALLO||||||Lunes a sabado de 08:00 a22:00|166|8607
1112|CARLOS ALBERTO    2|DISCOTECA|ALBORADA 12 ET. MZ. 26 VILLA 15||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|170|8608
1113|CARLOS BETO|DISCOTECA|SUCRE Y JOSE MARIA OLLAGUE||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|117|8609
1114|CARLOS EDUARDO|RESTAURANTE|COOP. GUAYAS Y QUIL 1, MZ. 13, SOLAR 14-A, GUASMO SUR||2487775||||Lunes a sabado de 08:00 a22:00|155|8610
1115|CARL'S J.R. BABAHOYO|FUENTE DE SODA|AV. ENRIQUE PONCE LUQUE S/N JUNTO AL TERMINAL TERRESTRE||52789106||carlsbabahoyo@elrosado.com||Lunes a viernes  06:00 a 20:00|144|8611
1116|CARL'S JR QUEVEDO|FUENTE DE SODA|CDLA. VENUS DEL RIO CALLE 24 DE MAYO C.C. PASEO CHOPPING||994303080||joseabril1955@yahoo.com||Lunes a viernes  06:00 a 20:00|179|8612
1117|CARL'S JR RIOCENTRO ENTRERIOS|FUENTE DE SODA|C.C. RIOCENTRO ENTRERIOS, VIA A SAMBORONDON||2831190||carls_erios@elrosado.com||Lunes a viernes  06:00 a 20:00|108|8613
1118|CARLS JR VIA A LA COSTA|RESTAURANTE|Km 13.5 Via a la Costa frete al Business School s/n s/n| Via a la costa junto al Hiper market |43702400||carlsviacosta@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|179|8614
1119|CARLS JR. 9 DE OCTUBRE|RESTAURANTE|Av. 9 de Octubre  717 Boyaca y Garcia Aviles| Av. 9 de Octubre junto al Mi Comisariato Centro |423702400||carls9octubre@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|181|8615
1120|CARL'S JR. DURÁN|FUENTE DE SODA|KM. 3,5 VÍA DURÁN-BOLICHE, C.C. PASEO SHOPPING DURÁN, PATIO DE COMIDAS||3700299||carlsduran@elrosado.com||Lunes a viernes  06:00 a 20:00|115|8616
1121|CARL'S JUAN TANCA MARENGO|RESTAURANTE|Av Juan Tanca Marengo km3.5 41 s/n| Complejo&nbsp Juan Tanca Marengo junto al Ferrisariato&nbsp  |423702400||carlsjtmarengo@elrosado.com|www.carlsjr.com.ec|Lunes a sabado de 08:00 a22:00|179|8617
1122|CARL'S JUNIOR|RESTAURANTE|C.C PASEO SHOPPING||||||Lunes a sabado de 08:00 a22:00|247|8618
1123|CARMAX |TRANSPORTE TERRESTRE|CDLA. SIMÓN BOLÍVAR MZ. 4 SOLAR 25 AV. DE LAS AMÉRICAS S/N Y CALLE PRIMERA||2398305||mario@carmaxrentacar.com|www.carmaxrentacar.com|Lunes a domingo 24 horas|118|8619
1124|Carmita|CASA DE HUÉSPEDES|Barrio 16 de Julio y Malecón 000 S/N|''|42904149|990799852|le_segovia@hotmail.com||24 horas|100|8620
1125|CARMITA|RESTAURANTE|AV. 18 AVA. S/N CALLE 6TA. Y 7MA. DIAGONAL AL CLUB DE LEONES||||||Lunes a sabado de 08:00 a22:00|180|8621
1126|CARMITA|RESTAURANTE|AV. CARLOS ALBERTO ARAY VIA CHONE SECTOR LA GASOLINERA||||||Lunes a sabado de 08:00 a22:00|159|8622
1127|CARMITA|RESTAURANTE|MALECON JULIO IZURIETA S/N GENERAL CORDOVA| A UN LADO DE HOSTAL LOS OLIVOS |991087992||jorgeluiscd_1995@yahoo.com||Lunes a sabado de 08:00 a22:00|174|8623
1128|CARMITA RJ|RESTAURANTE|SITIO EL PACHE||||||Lunes a sabado de 08:00 a22:00|195|8624
1129|CARMITA'S PANCAKE HOUSE|RESTAURANTE|GUIDO CHIRIBOGA ENTRE VICENTE ROCAFUERTE Y SAN ISIDRO||2060030||||Lunes a sabado de 08:00 a22:00|229|8625
1130|CAROLRENT|TRANSPORTE TERRESTRE|CDLA. SIMON BOLIVAR - AV. HERMANO MIGUEL, SOLAR #85, MZ. 2||||||Lunes a domingo 24 horas|149|8626
1131|CAROLTOUR|OPERADOR TURÍSTICO|AVENIDA FALCONI S/N SECTOR VIRGEN DE FATIMA|JUNTO AL COMEDOR ANGELITA|42770475|992141875|caroltoursa@hotmail.com||Lunes a viernes de 08:00 a 18:00|109|8627
1132|CAROLTOUR|OPERADOR TURÍSTICO|CALLE AGUSTIN FEBRE CORDERO 1 CALLE 64|A 70 METROS DE SISTEMA DE ALCANTARILLADO FLUVIAL|42773074|987239625|caroltoursa@hotmail.com||Lunes a viernes de 08:00 a 18:00|175|8628
1133|CAROMO|HOSTAL|AV. MANABI 502 CESAR LAVAYEN|DIAGONAL A LA BOTICA ECONOMICA|42960434|997216663|hotelcaromo_@hotmail.com|| Lunes a domingo 24 horas|131|8629
1134|CARRETA LA|RESTAURANTE|MALECON S/N MEJIA||||lacarreta12@hotmail.com||Lunes a sabado de 08:00 a22:00|201|8630
1135|CARRETA LA|RESTAURANTE|OLMEDO Y ALAJUELA||2652108||edlacarreta@yahoo.com||Lunes a sabado de 08:00 a22:00|222|8631
1136|CARRETA LA  2|RESTAURANTE|TEODORO WOLF Y FAUSTO VELEZ||2932124||||Lunes a sabado de 08:00 a22:00|218|8632
1137|CARSO INN|HOTEL|NUEVE DE OCTUBRE  SN CALDERON - CALLE DOS| UBICADO EN LA CALLE 9 DE OCTUBRE Y CALDERON A LADO DE LA COOP. JEP Y DIAGONAL AL COMERCIAL ROXANA |990689686|42970290|consultoriaortega@live.com||Lunes a Domingo 24 horas|238|8633
1138|CARUSO|RESTAURANTE|PLAZA DEL SOL VIA BARBASQUILLO||6053168||||Lunes a sabado de 08:00 a22:00|233|8634
1139|CASA ARASSARI|HOSTAL|ELOY ALFARO 15-23 MIGUEL SANGURIMA|FRENTE A RESTAURANTE PASEO DE GRACIA|72976777|991358782|yayitaloayza@gmail.com|| Lunes a domingo 24 horas|230|8635
1140|CASA AYANGUE|HOTEL|CALLE VIRGEN DE FATIMA S/N VIA CUMBRES DE AYANGUE| COMUNA AYANGUE CERCA DE LA PLAYA SECTOR SUR |991561606|991561606|berlizar10@gmail.com||Lunes a Domingo 24 horas|137|8636
1141|CASA BLANCA|SALA DE RECEPCIONES Y BANQUETES|AV. MALECON 9 DE OCTUBRE Y FLORES||993753853||mferp_68@hotmail.com||Lunes a sabado de 08:00 a22:00|142|8637
1142|CASA BLANCA|HOSTAL|PLAYA SANTA MARIANITA||991354729||johnpolit@hotmail.com|www.hotelcasablanca.com| Lunes a domingo 24 horas|103|8638
1143|CASA BLANCA LA |RESTAURANTE|AV. GUIDO CHIRIBOGA Y CALLE PUBLICA||||||Lunes a sabado de 08:00 a22:00|126|8639
1144|CASA BLUE TORTUGA|HOSTAL|AV. PRINCIPAL S/N CALLE H VIA CAUTIVO|DIAGONAL AL PROYECTO INNFA|42953895|994413614|marjoriehanze@hotmail.com|| Lunes a domingo 24 horas|194|8640
1145|CASA BOLON|RESTAURANTE|AV. RODOLFO BAQUERIZO NAZUR LOCAL 3  CENTRO COMERCIAL PLAZA MAYOR| AL COSTADO DE MI COMISARIATO, LOCAL ESQUINERO |986463018||cesarzoller@hotmail.com||Lunes a sabado de 08:00 a22:00|170|8641
1146|CASA BOUTIQUE LA FONTANA|HOSTAL|GENERAL CÓRDOVA 918 Y P. ICAZA||2307230||gerencia@lafontana-ecuador.com|| Lunes a domingo 24 horas|244|8642
1147|CASA CACIQUE ECOLODGE|HOSTAL|PRINCIPAL TIGRILLO S/N CALLEJON 1|DIAGONAL A HOSTAL LAS BRISAS||998879037|mariaelenacobena@gmail.com|| Lunes a domingo 24 horas|141|8643
1148|CASA CEIBO|HOTEL|AV. SIXTO DURAN BALLEN S/N CESAR RUPERTI|KM. 5 1/2 VIA BAHÍA TOSAGUA. A 300 METROS DEL TERMINAL TERRESTRE|52399399|994703622|ventas@casaceibo.com|www.casaceibo.com|Lunes a Domingo 24 horas|127|8644
1149|CASA CEIBO|OPERADOR TURÍSTICO|KILOMETRO 5 Y MEDIO VIA BAHIA - TOSAGUA||||info@casaceibo.com||Lunes a viernes de 08:00 a 18:00|175|8645
1150|CASA CHINA|RESTAURANTE|JOSE VELEZ S/N Y SUCRE||2796649||||Lunes a sabado de 08:00 a22:00|126|8646
1151|CASA CHINA |RESTAURANTE|AV. GUAYAQUIL # 337 Y MEXICO||2753007||||Lunes a sabado de 08:00 a22:00|138|8647
1152|CASA COLONIAL GUAYAQUIL|SALA DE RECEPCIONES Y BANQUETES|CDLA. URDENOR 1, AV. 8 NO, SOLAR 15, MZ 101||99280843||||Lunes a sabado de 08:00 a22:00|217|8648
1153|CASA DANY|CASA DE HUÉSPEDES|SUCRE S/N Velez | Lubricadora Tres Marias&nbsp  |985337014||madanny_14@hotmail.es||24 horas|196|8649
1154|CASA DE CAMPO|RESTAURANTE|C.C. MALECON 2000 SIMON BOLIVAR Y LOJA GALERIA RML4||2397777||||Lunes a sabado de 08:00 a22:00|134|8650
1155|CASA DE LAS EMPANADAS|FUENTE DE SODA|ALBORADA NOVENA ETAPA, MZ. 908, SL. 23||2894313||produmak@hotmail.com||Lunes a viernes  06:00 a 20:00|100|8651
1156|CASA DE LAS TORTAS LA|CAFETERÍA|PORTETE #5606 Y LA 29 ava||||||Lunes a Viernes 08h30 a 17h00|233|8652
1157|CASA DE PAZ|HOSTAL|JUAN MONTALVO S/N VICTOR BALON|A TRESCIENTOS METROS DEL CAFE BAR YUBARTA||959838252|beykerpincaytoro@yahoo.com|| Lunes a domingo 24 horas|156|8653
1158|CASA DE ROMERO|CASA DE HUÉSPEDES|VELEZ 501 CALLE BOYACA|FRENTE A MI COMISARIATO|46036244|967929600|hostel_guayaquil@yahoo.com|www.hostelromero.com|24 horas|209|8654
1159|CASA DEL ARBOL LA |RESTAURANTE|DIAGONAL C Y CALLE VEINTIUNO||2278593||||Lunes a sabado de 08:00 a22:00|229|8655
1160|CASA DEL CHOCOLATERO|FUENTE DE SODA|AV. 25 DE JULIO S/N Y JOSE DE LA CUADRA. MALL DEL SUR, ISLA 25. PATIO DE COMIDAS||2264756||gustaff@interactive.net.ec||Lunes a viernes  06:00 a 20:00|122|8656
1161|CASA DEL ENCEBOLLADO GUAYACANES LA |RESTAURANTE|GUAYACANES, SOLAR 13, MZ 82||2642982||||Lunes a sabado de 08:00 a22:00|193|8657
1162|CASA DEL ENCEBOLLADO LA |RESTAURANTE|ALBORADA OCTAVA ETAPA, SOLAR 20 MZ 838||2270013||||Lunes a sabado de 08:00 a22:00|214|8658
1163|CASA DEL MARISCO LA |RESTAURANTE|ATANASIO SANTOS Y REALES TAMARINDOS||89886698||||Lunes a sabado de 08:00 a22:00|161|8659
1164|CASA DEL SOL|HOSTAL|SECTOR LA PUNTA FRENTE A HANGA ROA||93354126|||| Lunes a domingo 24 horas|137|8660
1165|CASA DEL SOL LA|HOSTAL|MONTAÑITA SECTOR LA PUNTA|||||| Lunes a domingo 24 horas|115|8661
1166|CASA DEL TIGRILLO LA|RESTAURANTE|C.C. ORO PLAZA||6002613||erikpms@outlook.com||Lunes a sabado de 08:00 a22:00|167|8662
1167|CASA DEL TOMAHAWK LA|RESTAURANTE|RIO ESMERALDAS S/N Y AV. CENTRAL, C.C. LAS TERRAZAS PISO 1 LOCAL 2-A Y 3-A||968826776||lacasadeltomahawk@gmail.com||Lunes a sabado de 08:00 a22:00|164|8663
1168|CASA DEL TOMAHAWK LA|RESTAURANTE|CDLA. ALBORADA VI ETAPA, AV. FRANCISCO DE ORELLANA Y CALLE 17, MZ. 670, S 19, PISO 0, LOCAL 36||42345120||cheungtse@gmail.com||Lunes a sabado de 08:00 a22:00|183|8664
1169|CASA DI CARLO LA|RESTAURANTE|CDLA. GUAYAQUIL CALLE 1ERA ENTRE D MZ. 19 VILLA 9||2282009||||Lunes a sabado de 08:00 a22:00|178|8665
1170|CASA DI MARE|RESTAURANTE|URDENOR II, AV. RODRIGO CHAVEZ Y AV. JUAN TANCA MARENGO, SOLAR 12, MZ. 241||5052032||j.sandoval@outlook.com||Lunes a sabado de 08:00 a22:00|174|8666
1171|CASA DOS|CASA DE HUÉSPEDES|CALLE PRIMERO DE MAYO S/N CALLEJON| COMUNA AYANGUE |981402424||juliofrancisco1@hotmail.es||24 horas|188|8667
1172|CASA ESPERANTO|CASA DE HUÉSPEDES|PRINCIPAL S/N S/N|RECINTO LAS TUNAS - DIAGONAL A LA HOSTERIA EQUS ERRU|52347095|995554934|yoyomoran@gmail.com||24 horas|121|8668
1173|CASA GALLO|RESTAURANTE|LOT. BUIJO HISTORICO MZ. 1 SOLAR 03-9, VIA PUNTILLA - SAMBORONDON||43930045||nelsonruales@foodservec.com||Lunes a sabado de 08:00 a22:00|213|8669
1174|CASA GRANDE|HOSTERÍA|LICEO ROMERO Y 4 DE OCTUBRE||2517410||casagrandehosteria@hotmail.com||Lunes a Domingo 24 horas|140|8670
1175|CASA GRANDE|HOSTERÍA|MALECON Y CALLE DE LA IGLESIA||52340106||casagrande.hosteria@gmail.com||Lunes a Domingo 24 horas|116|8671
1176|CASA HONG KONG|RESTAURANTE|AV. GUAYAQUIL Y VENEZUELA   SOLAR#9||2751508||||Lunes a sabado de 08:00 a22:00|143|8672
1177|CASA INGLESA|SALA DE RECEPCIONES Y BANQUETES|SAN JOSE DE ANCON BARRIO INGLES AVENIDA ELIZABETH QUEEN||42906357||johy51@hotmail.com||Lunes a sabado de 08:00 a22:00|245|8673
1178|CASA LATINA |HOSTAL|B/UMIÑA, AVDA. FLAVIO REYES Y CALLE 26||||xavier2050@gmail.com|www.hostalcasalatina.amawebs.com| Lunes a domingo 24 horas|107|8674
1179|CASA LINDA MANABITA|RESTAURANTE|VIA CRUCITA KM 31/2||99982294||||Lunes a sabado de 08:00 a22:00|187|8675
1180|CASA LOLITA|HOTEL|NUEVA S/N AV. UNIVERSITARIA|A LADO DEL CHIFA MENGUAN||988473924|abdecorarquitectura@hotmail.com||Lunes a Domingo 24 horas|131|8676
1181|CASA MAR|HOSTERÍA|VIA PRINCIPAL||2223340||||Lunes a Domingo 24 horas|239|8677
1182|CASA MENESTRA|RESTAURANTE|COOP. CONSEJO PROVINCIAL DEL GUAYAS, AV. FRANCISCO DE ORELLANA, MZ. 12, SOLAR 23||||fabian@casamenestra.com||Lunes a sabado de 08:00 a22:00|242|8678
1183|CASA MIA|RESTAURANTE|OLMEDO E/ NAPOLEON MERA Y 23 DE ABRIL||||||Lunes a sabado de 08:00 a22:00|114|8679
1184|CASA MOSAICO|CASA DE HUÉSPEDES| 24 DE MAYO S/N MALECON JULIO IZURIETA| 24 de Mayo - Malec&ograve n Julio Izurieta |980778925|988126238|lucyerna@yahoo.com||24 horas|157|8680
1185|CASA PEDERNALES|HOSTAL|AV. JUAN PEREIRA S/N MANABÍ|A LADO DEL HOTEL PLAYAS|52681125|981522035|anitaalcivar@hotmail.es|| Lunes a domingo 24 horas|225|8681
1186|CASA PILSENER|RESTAURANTE|BARRIO LAS PEÑAS, CONJUNTO PUERTO SANTA ANA||994069442||||Lunes a sabado de 08:00 a22:00|223|8682
1187|CASA QUEBECUA|RESTAURANTE|MONTAÑITA CALLE DE LOS COCTELES Y AVENIDA GUIDO CHIRIBOGA||||||Lunes a sabado de 08:00 a22:00|125|8683
1188|CASA QUEBECUA|BAR|MONTAÑITA CALLE DE LOS COCTELES Y AVENIDA GUIDO CHIRIBOGA||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|171|8684
1189|CASA RABOTTI|RESTAURANTE|CALLE 52 S/N AV. JAIME ROLDOS| A POCOS METROS DE LA IGLESIA SAN LORENZO |987285940|987285940|casarabotti@gmail.com||Lunes a sabado de 08:00 a22:00|132|8685
1190|CASA REAL EVENTOS|SALA DE RECEPCIONES Y BANQUETES|JOHN KENNEDY Y 1 DE NOVIEMBRE||72917366||||Lunes a sabado de 08:00 a22:00|246|8686
1191|CASA RES|RESTAURANTE|MALL DEL PACIFICO||||fausto.diaz@kfc.com.ec||Lunes a sabado de 08:00 a22:00|162|8687
1192|CASA RES|RESTAURANTE|AV. 9 DE OCTUBRE 612 Y ESCOBEDO, PB||969306356||roo3@menestrasdelnegro.com.ec||Lunes a sabado de 08:00 a22:00|138|8688
1193|CASA RES|RESTAURANTE|C.C. SAN MARINO SHOPPING, PISO 2, OFI. P2-1-21||999661537||alexandra.sandoval@kfc.com.ec||Lunes a sabado de 08:00 a22:00|184|8689
1194|CASA RES|RESTAURANTE|AV. JOAQUIN ORRANTIA GONZALEZ S/N Y AV. JUAN TANCA MARENGO, C.C. MALL DEL SOL, PISO 1, OF. T-115||989432764||fausto.diaz@kfc.com.ec||Lunes a sabado de 08:00 a22:00|195|8690
1195|CASA ROSADA|RESTAURANTE||FRENTE AL PARQUE DE LA MADRE|52700669|992248469|pparede@dgfer.com.ec||Lunes a sabado de 08:00 a22:00|247|8691
1196|CASA SANTA MARIA|CASA DE HUÉSPEDES|AVENIDA FRANCISCO PIZARRO  2 CALLE SEPTIMA|DIAGONAL AL NUEVO COMISARIATO|42953466|969319085|||24 horas|207|8692
1197|CASA SURF BROTHER'S HE'E NALU|CASA DE HUÉSPEDES|CALLE PRINCIPAL EL TIGRILLO S/N CALLEJON| MONTAÑITA SECTOR EL TIGRILLO |989207645|42779629|revistaelfaro@hotmail.es||24 horas|198|8693
1198|CASA TAISHA|HOSTAL|CALLE PRINCIPAL S/N CALLEJON C |DETRAS DEL HOTEL KUNDALINI|99051850|993521551|brunomoreira1404@gmail.com|| Lunes a domingo 24 horas|207|8694
1199|CASA TALLER RAMIREZ|RESTAURANTE|KM. 1 VIA PLAYAS-SAN ANTONIO||989399970||||Lunes a sabado de 08:00 a22:00|105|8695
1200|CASA THAISHA|HOSTAL|PRINCIPAL RUTA SPONDYLUS S/N CALLEJON B|SECTOR NORTE - DIAGONAL AL HOSTAL SUMPA|89706191|989706191|casataisha83@gmail.com|| Lunes a domingo 24 horas|210|8696
1201|CASA TUA|RESTAURANTE|MONTAÑIAT AV. SEGUNDO ROSALES Y VICENTE ROCAFUERTE FRENTE A MONTAÑISOL||||||Lunes a sabado de 08:00 a22:00|110|8697
1202|CASA UMIÑA|HOSTAL|31 S/N AV. FLAVIO REYES Y UMIÑA|A UNA CUADRA DE LA ESCUELA DE PESCA|52695587|993743083|zambrano.magdalena@gmail.com|| Lunes a domingo 24 horas|150|8698
1203|CASA VASKA|RESTAURANTE|PARROQUIA MANGLARALTO CALLE 24 DE MAYO Y AVENIDA EL ORO||||||Lunes a sabado de 08:00 a22:00|229|8699
1204|CASA VIEJA|BAR|CALLE COMERCIO S/N CALLE 10 DE AGOSTO|FRENTE A LA GOBERNACION DE SANTA ELENA|989874222|989874222|ymo72@hotmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|208|8700
1205|CASA VIEJA MARISQUERIA|RESTAURANTE|AVE. PAULO EMILIO SABANDO s/n Y TENNIS CLUB||5440193||carlosdemera @hotmail.com||Lunes a sabado de 08:00 a22:00|174|8701
1206|CASACAY|TERMAS Y BALNEARIOS|Parroquia Casacay||||muentesd@hotmail.com||Lunes a sabado de 06:00 a22:00|129|8702
1207|CASACOOK|CAFETERÍA|VIA SAMBORONDON KM. 5 C.C. PLAZA NAVONA, BLOQ. B, LOCAL B-103||3705755||||Lunes a Viernes 08h30 a 17h00|223|8703
1208|CASANOVA|RESTAURANTE|CDLA. URDESA CENTRAL, AV. PRIMERA 604 ENTRE LAS MONJAS Y FIUS||42882475||||Lunes a sabado de 08:00 a22:00|178|8704
1209|CASAS PACIFICOS|CASA DE HUÉSPEDES|VIA PUNTA CARNERO S/N CARRETERO|A TREINTA METROS DE EDIFICIO CARNERO DEL SOL - CASA COLOR BLANCA||969405722|wlynn.barry@gmail.com|www.casaspacificos.com|24 horas|151|8705
1210|CASCADA LA|DISCOTECA|LUQUE 927 Y LORENZO DE GARAYCOA||2517680||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|125|8706
1211|CASERIO DE PLAYAS EL|RESTAURANTE|PLAYAS, JAIME ROLDOS AGUILERA S/N ENTRE CALLE 7 Y CALLE 8, PISO 0||42761662||jproller91@gmail.com||Lunes a sabado de 08:00 a22:00|131|8707
1212|CASITA DE CAMPO|TERMAS Y BALNEARIOS|PARQUE LINEAL CALLEJON 1 DE SEPTIEMBRE||989138791||||Lunes a sabado de 06:00 a22:00|142|8708
1213|CASITA LA|RESTAURANTE|CDLA. GUAYAQUIL - NAHIM ISAIAS, SOLAR #33, MZ. 1||5042041||||Lunes a sabado de 08:00 a22:00|237|8709
1214|CASSAN|RESTAURANTE|CDLA. LOT. MANGLERO, BLOQUE D, C.C. PLAZA NAVONA, LOC. D100||984999319||adanpablo@gmail.com||Lunes a sabado de 08:00 a22:00|133|8710
1215|CASTBEC|TERMAS Y BALNEARIOS|PARROQUIA URBANA VALLE HERMOSO||968596729||jad_mb@hotmail.com||Lunes a sabado de 06:00 a22:00|140|8711
1216|CASTILLO DE ARENA|HOTEL|AV. SIMON BOLIVAR S/N CALLE A|FRENTE A LA HOSTERIA LAS GAVIOTAS|42765278|996332991|lcda.carmen.cabezas.v@gmail.com|www.hotelcastillodearena|Lunes a Domingo 24 horas|107|8712
1217|CASTRILI|SALA DE RECEPCIONES Y BANQUETES|VICENTE LUQUES CIUDADELA PENSILVANIA||2330534||castrili@hotmail.com||Lunes a sabado de 08:00 a22:00|142|8713
1218|CASTROTOUR|AGENCIA DE VIAJES DUAL|AV. JUAN TANCA MARENGO 102 AV. JOAQUIN ORRANTIA EDIFICIO EQUILIBRIUM|FRENTE AL C.C. MALL DEL SOL DETRAS DEL HOTEL SHERATON|42107166|969064889|christian@castrotour.com|www.castrotour.com|Lunes a Viernes 08h30 a 17h30|110|8714
1219|CATALUÑA LA ESPAÑOLA|RESTAURANTE|AVENIDA QUITO 305 LAS ACACIAS| Junto al Comercial Lupita |939648564|52797151|hostalcataluna@hotmail.com||Lunes a sabado de 08:00 a22:00|141|8715
1220|CAVAE FOOD|FUENTE DE SODA|BARBASQUILLO VIA A SAN MATEO||||marthaperaltab_35@hotmail.com||Lunes a viernes  06:00 a 20:00|125|8716
1221|CAVERNAS DE CHILLAYACU|TERMAS Y BALNEARIOS|SITIO CHILLAYACU||||amilcar_sv@hotmail.es||Lunes a sabado de 06:00 a22:00|119|8717
1222|CAYENA BEACH|HOTEL|AV PRIMERA S/N AV. EL TIGRILLO|A UN COSTADO DE HOSTAL MONTAÑITA - CASA DE DOS PISOS MIXTA|42901236|999849999|angelgustavo98@gmail.com||Lunes a Domingo 24 horas|214|8718
1223|CAZUELA DE LEONOR |RESTAURANTE|CALLEJON PARRA S/N Y LA 19 AVA||2844886||||Lunes a sabado de 08:00 a22:00|210|8719
1224|CAZUELA DEL ECUADOR LA|RESTAURANTE|URB. LOS OLIVOS, SOLAR #3, MZ. 2, EDIF. OLIVOS BUSINESS CENTER, LOCAL #2||5103310||||Lunes a sabado de 08:00 a22:00|212|8720
1225|CEBICHERIA EL ÑATO|RESTAURANTE|AVENIDA 9 S/N CALLE 9|DIAGONAL AL PASEO SHOPPING|42782073|989623873|efrenbaidalm@hotmail.com||Lunes a sabado de 08:00 a22:00|129|8721
1226|CEBICHES DE LA RUMIÑAHUI|RESTAURANTE|VIA SAMBORONDON S/N JUNTO A BANCO DEL PACIFICO, KM 1 1/2||2838650||||Lunes a sabado de 08:00 a22:00|158|8722
